smiles,pmic,n_meas
C/C(=N\NC(=O)c1snnc1C(F)(F)F)c1ccc(Br)cc1Br,3.4979280223976814,1
C/C(=N\NC(=O)c1snnc1C(F)(F)F)c1ccc([N+](=O)[O-])cc1,3.379352661983006,1
C/C(=N\NC(=O)c1snnc1C(F)(F)F)c1ccccc1,3.3212420675550485,1
C/C(=N\NC(=O)c1snnc1C(F)(F)F)c1ccccn1,3.3226051628018656,1
C/C(=N\NC(=S)Nc1ccc(C(=O)NCC(=O)O)cc1)c1ccc(C)cc1,4.788972273883516,1
C/C(=N\NC(N)=O)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.272738067772228,1
C/C(=N\NC(N)=S)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,3.6853242571232205,1
C/C(=N\NCCN(C)C)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,3.997005226452251,1
C/C(=N\Nc1ccccc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.001334705355896,1
C/C(=N\Nc1nc(-c2ccc(I)cc2)cs1)c1cc2ccccc2oc1=O,4.4836960352571404,1
C/C(=N\Nc1nc(-c2ccc(I)cc2)cs1)c1ccc2ccccc2c1,4.467377764855462,1
C/C(=N\Nc1nc(-c2ccc(I)cc2)cs1)c1cccnc1,4.11838771191877,1
C/C(=N\Nc1nc(-c2ccc(I)cc2)cs1)c1ccncc1,4.419417707582752,1
C/C(=N\Nc1nc2ccccc2[nH]c1=O)c1cc2cc(Br)ccc2oc1=O,3.8327561347146966,1
C/C(=N\Nc1nc2ccccc2[nH]c1=O)c1cc2cc(C)ccc2oc1=O,3.7608722278090423,1
C/C(=N\Nc1nc2ccccc2[nH]c1=O)c1cc2cc(Cl)ccc2oc1=O,4.688592072587799,1
C/C(=N\Nc1nc2ccccc2[nH]c1=O)c1cc2ccccc2oc1=O,4.043965838725647,1
C/C(=N\O)c1ccc(NC(=O)c2nn(-c3ccccc3)c(-c3ccccc3)c2C(=O)c2ccccc2)cc1,5.489939392188902,1
C/C(=N\c1ccc(Br)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.354431157589737,1
C/C(=N\c1ccc(C(=O)O)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.932320713389748,1
C/C(=N\c1ccc(C)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.3015083246721355,1
C/C(=N\c1ccc(CC(=O)O)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.9436540480982885,1
C/C(=N\c1ccc(Cl)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.318871872920214,1
C/C(=N\c1ccc(F)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.910481532686937,1
C/C(=N\c1ccc(O)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.002185939456989,1
C/C(=N\c1ccc(S(N)(=O)=O)cc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.960120782669276,1
C/C(=N\c1ccccc1)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,4.289164260003204,1
C/C(=N\n1c(/N=C/c2ccc(Br)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,4.083081020613133,1
C/C(=N\n1c(/N=C/c2ccc(C)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.334890238960346,1
C/C(=N\n1c(/N=C/c2ccc(Cl)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.748932668611674,1
C/C(=N\n1c(/N=C/c2ccc(F)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.3380626610075153,1
C/C(=N\n1c(/N=C/c2ccc(O)cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.3364717418248784,1
C/C(=N\n1c(/N=C/c2ccc([N+](=O)[O-])cc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,2.757026113583536,1
C/C(=N\n1c(/N=C/c2cccc(Br)c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,4.384111016277115,1
C/C(=N\n1c(/N=C/c2cccc(C)c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.7328302476323834,1
C/C(=N\n1c(/N=C/c2cccc(Cl)c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,4.049962664275655,1
C/C(=N\n1c(/N=C/c2cccc(F)c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.7360026696795527,1
C/C(=N\n1c(/N=C/c2cccc(O)c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.035441746160897,1
C/C(=N\n1c(/N=C/c2cccc([N+](=O)[O-])c2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.359086104911498,1
C/C(=N\n1c(/N=C/c2ccccc2)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.022441568917926,1
C/C(=N\n1c(/N=C/c2ccccc2C)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.334890238960346,1
C/C(=N\n1c(/N=C/c2ccccc2Cl)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.748932668611674,1
C/C(=N\n1c(/N=C/c2ccccc2O)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,3.035441746160897,1
C/C(=N\n1c(N)c(C#N)c(-c2ccc(F)cc2)c(C#N)c1=O)c1cc2c(ccc3ccccc32)oc1=O,3.5928125165831495,1
C/C(=N\n1c(N)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)c(C#N)c1=O)c1nc2ccccc2[nH]1,2.9429074755314963,1
